Name,Rating,Fifa Ability Overall,Position,Apps,Man of the match,Pass success percentage,Avg Minutes Played
Andoni Gorosabel,6.44,68,D(R),6,0,79.0,76.0
Kevin Vázquez,6.27,68,D(R),2,0,77.2,109.0
Djegui Koita,6.91,68,Defender,1,0,70.7,173.0
Sofiane Alakouch,6.85,68,D(R),23,1,74.3,82.65217391304348
Enock Kwateng,6.83,68,"D(R), M(R)",22,0,70.4,92.72727272727273
Mathieu Cafaro,6.79,68,AM(CL),24,2,68.8,87.625
Théo Pellenard,6.75,68,D(L),6,0,82.9,82.66666666666667
Antonin Bobichon,6.67,68,M(CL),24,1,83.3,89.79166666666667
Pierre-Yves Polomat,6.63,68,"D(L), M(L)",11,0,80.8,86.27272727272727
Toma Basic,6.59,68,AM(C),16,1,82.4,83.5
Herve Lybohy,6.51,68,D(C),15,0,83.6,98.26666666666667
Malik Tchokounte,6.46,68,FW,16,0,69.1,91.75
Mickaël Alphonse,6.44,68,D(R),6,0,64.6,94.5
Souleymane Camara,6.41,68,"M(R), FW",0,0,75.0,
Fethi Harek,6.34,68,D(CL),2,0,69.4,89.0
Kevin NDoram,6.3,68,DMC,2,0,89.1,97.0
Wilfried Kanga,6.24,68,FW,4,1,68.6,120.75
Konstantinos Mavropanos,6.61,68,D(C),3,0,92.7,50.0
Luca Paganini,6.69,68,M(R),12,0,76.4,93.41666666666667
Simone Iacoponi,6.56,68,D(CR),38,0,72.8,88.15789473684211
Antonino La Gumina,6.43,68,FW,12,2,78.9,90.91666666666667
Kevin Mirallas,6.42,68,"M(CLR), FW",15,0,76.9,86.66666666666667
Paolo Sammarco,6.4,68,M(C),6,0,78.9,92.16666666666667
Musa Barrow,6.3,68,FW,6,0,79.0,98.66666666666667
Vittorio Parigini,6.23,68,AM(CL),2,0,71.6,183.0
Matteo Pessina,6.19,68,Midfielder,1,0,86.4,229.0
Samuel Mráz,6.15,68,Forward,2,0,81.0,84.0
Ignacio Camacho,7.34,67,"D(C), M(C)",6,1,78.3,90.0
Raphael Framberger,6.64,67,D(R),6,0,63.2,91.16666666666667
Gian-Luca Itter,6.63,67,"D(L), D(L)",1,0,88.4,93.0
Philipp Lienhart,6.43,67,D(C),7,0,81.7,87.42857142857143
Johannes Eggestein,6.41,67,"AM(R), FW",12,1,72.3,93.16666666666667
Ridle Baku,6.38,67,M(C),10,0,82.4,93.8
Sergio Córdova,6.29,67,FW,3,0,75.0,172.0
Reece Oxford,6.16,67,D(C),6,0,81.2,84.16666666666667
Peru Nolaskoain,6.63,67,Midfielder,4,0,86.2,116.25
Robin Le Normand,6.58,67,D(C),3,0,88.2,94.33333333333333
Javi Sánchez,6.5,67,Defender,0,0,87.5,
Sergio Akieme,6.41,67,Defender,2,0,84.6,90.0
Daniel Ojeda,6.22,67,Forward,2,0,73.2,96.0
Álex López,6.17,67,Midfielder,1,0,90.7,109.0
Seung-Ho Paik,6.13,67,"Midfielder, Midfielder",0,0,85.0,
Gorka Guruzeta,6.01,67,Forward,0,0,77.8,
Charles Traoré,6.94,67,D(L),13,1,71.8,89.53846153846153
Jonathan Gradit,6.8,67,D(CR),23,1,81.2,87.52173913043478
Baptiste Santamaría,6.79,67,DMC,37,0,81.0,87.78378378378379
Nayef Aguerd,6.74,67,D(C),12,1,78.0,87.58333333333333
Florian Miguel,6.63,67,D(CL),12,0,76.7,93.08333333333333
Stevan Jovetic,6.48,67,"AM(C), FW",4,0,68.0,99.5
Cheick Traoré,6.48,67,D(R),16,0,69.4,94.0625
Pietro Pellegri,6.35,67,Forward,0,0,61.5,
Nathaël Julan,6.35,67,Forward,3,0,59.5,143.66666666666666
Sheyi Ojo,6.22,67,AM(LR),3,0,68.7,153.66666666666666
Baissama Sankoh,6.14,67,"D(CR), M(C)",6,0,81.6,108.0
Morgan Gibbs-White,6.2,67,"AM(C), AM(C)",5,0,83.9,130.2
Berat Djimsiti,6.85,67,D(C),20,0,90.8,90.25
Mattia Bani,6.76,67,D(C),29,2,81.0,90.06896551724138
Antonino Barillà,6.62,67,M(C),30,1,73.0,87.43333333333334
Jacob Rasmussen,6.6,67,"D(C), DMC",10,0,88.3,101.7
Alessandro Bastoni,6.54,67,D(C),18,2,81.5,93.66666666666667
Simone Edera,6.52,67,Midfielder,3,0,79.7,66.0
Lorenco Simic,6.31,67,D(C),2,0,81.8,117.0
Andrea Barzagli,6.3,67,D(CR),4,0,90.7,65.25
Rai Vloet,6.26,67,AM(C),1,0,86.5,120.0
Simone Edera,6.09,67,Midfielder,1,0,87.1,77.0
Everton Luiz,5.99,67,DMC,2,0,86.2,156.5
Alexander Fuchs,6.36,66,M(C),8,0,76.8,82.625
Dennis Jastrzembski,5.99,66,Forward,0,0,73.3,
Ander Guevara,7.06,66,Midfielder,1,0,97.6,90.0
Miguelón,6.66,66,D(R),5,0,79.1,108.6
Wilfrid Kaptoum,6.52,66,M(C),9,0,86.1,86.22222222222223
Cristo González,6.16,66,Forward,0,0,100.0,
Gabriel,7.14,66,D(C),11,0,85.9,96.45454545454545
Anthony Caci,6.68,66,"D(C), M(L)",26,0,81.4,88.5
Clement Depres,6.6,66,Forward,4,1,69.6,108.5
Theo Valls,6.36,66,M(C),20,0,79.4,88.6
Jules Keita,6.32,66,Forward,2,1,79.2,221.5
Sofiane Diop,6.27,66,AM(C),9,0,71.2,82.44444444444444
Farid El Melali,6.16,66,Midfielder,0,0,77.1,
Rúben Vinagre,6.41,66,M(L),7,0,77.3,100.85714285714286
Nicolò Zaniolo,6.7,66,AM(CR),20,0,81.3,88.6
Charalampos Lykogiannis,6.61,66,"D(L), M(L)",9,0,68.3,92.11111111111111
Andrea Beghetto,6.6,66,M(L),25,0,67.8,89.08
Giangiacomo Magnani,6.5,66,D(C),17,0,86.3,89.11764705882354
Fabio Depaoli,6.48,66,"D(R), DMC, M(R)",27,0,73.2,91.4074074074074
Nicholas Opoku,6.41,66,D(C),9,0,86.0,101.11111111111111
Sofian Kiyine,6.34,66,Midfielder,9,0,80.2,89.88888888888889
Svante Ingelsson,5.97,66,AM(R),1,0,61.8,96.0
Hendrik Weydandt,6.73,65,FW,18,0,58.3,95.55555555555556
Felix Götze,6.32,65,Midfielder,0,0,75.0,
Federico Palacios,6.31,65,FW,9,0,81.7,104.55555555555556
Samuel Chukwueze,6.78,65,AM(CR),19,1,73.4,90.05263157894737
Fran Manzanara,6.17,65,Midfielder,1,0,89.6,155.0
Patrick Twumasi,6.06,65,AM(R),0,0,70.9,
Anthony Walongwa,6.56,65,D(C),1,0,91.9,90.0
Gaetan Paquiez,6.51,65,D(LR),14,0,73.6,94.71428571428571
Kouadio Dabila,6.42,65,D(C),8,0,85.9,97.375
Yacine Adli,6.31,65,Midfielder,2,0,77.7,107.0
Nolan Mbemba,6.29,65,Midfielder,4,0,80.5,88.75
Aly Ndom,6.24,65,M(C),3,0,76.2,118.33333333333333
Moussa Sylla,6.17,65,FW,7,0,63.9,108.85714285714286
Aly Ndom,5.99,65,M(C),1,0,80.0,46.0
Kadeem Harris,6.37,65,AM(LR),3,0,70.5,122.0
Abdelhamid Sabiri,6.16,65,AM(L),1,0,87.5,50.0
Júnior Tavares,6.65,65,"D(L), M(L)",2,0,92.9,92.0
Pawel Jaroszynski,6.52,65,"D(L), M(L)",15,0,72.0,90.0
Joel Untersee,6.19,65,Defender,1,0,82.4,125.0
Joshua Sargent,6.24,64,Forward,1,0,77.0,206.0
Törles Knöll,6.17,64,Forward,2,0,61.9,179.5
Haji Wright,6.1,64,FW,2,0,66.7,98.0
Jean-Clair Todibo,6.97,64,"D(C), D(C)",2,1,92.4,79.0
Moisés Delgado,6.44,64,Defender,3,0,67.6,90.0
Kevin Soni,6.28,64,Midfielder,1,0,81.8,79.0
Francisco Montero,6.19,64,D(C),4,0,75.0,100.25
Dennis Eckert,6.19,64,Forward,1,0,73.7,211.0
Miguel Marí,6.03,64,Midfielder,0,0,90.0,
Antoine Bernede,7.24,64,"Midfielder, Midfielder",2,0,93.5,85.0
Youssouf Kone,7.13,64,D(L),19,2,83.2,90.05263157894737
Jean-Clair Todibo,6.79,64,"D(C), D(C)",10,1,84.6,83.6
Hassane Kamara,6.72,64,D(L),9,1,81.2,102.33333333333333
Colin Dagba,6.5,64,"D(R), D(R)",9,0,93.0,101.55555555555556
Jessy Deminguet,6.46,64,M(C),15,0,83.6,85.0
Senou Coulibaly,6.44,64,D(C),6,0,75.4,68.33333333333333
Kévin Zohi,6.39,64,Forward,6,0,76.8,103.83333333333333
Cheick Timite,6.34,64,"AM(R), FW",15,0,76.6,96.86666666666666
Julien Serrano,6.23,64,Defender,1,0,78.7,117.0
Dejan Lovren,7.08,64,D(C),11,1,86.6,89.63636363636364
Dwight McNeil,7.03,64,M(L),19,2,75.7,84.15789473684211
Miguel Almirón,6.76,64,"AM(CL), FW",9,0,74.7,84.77777777777777
Oliver Skipp,6.38,64,Midfielder,2,0,83.9,108.0
Grady Diangana,6.38,64,AM(R),6,0,77.9,101.33333333333333
Eddie Nketiah,6.29,64,Forward,0,0,90.0,
Cristian Romero,6.81,64,D(C),27,1,81.0,86.62962962962963
Federico Dimarco,6.72,64,D(L),10,0,76.5,89.4
Hamed Junior Traore,6.67,64,M(C),26,1,79.2,87.26923076923077
Andrea Pinamonti,6.57,64,FW,17,1,72.8,95.41176470588235
Alessandro Deiola,6.4,64,M(C),5,0,75.1,108.4
Alessandro Deiola,6.1,64,M(C),5,0,74.2,89.6
Louis Beyer,7.12,63,D(R),8,0,87.9,90.125
Carlos Isaac,7.35,63,Defender,1,0,85.4,90.0
Toni Moya,6.91,63,Midfielder,1,0,91.8,90.0
Joaquín,6.87,63,"M(CLR), FW",17,1,84.8,99.82352941176471
Joaquín Fernández,6.6,63,D(C),9,1,78.2,92.88888888888889
William Saliba,6.91,63,"D(C), D(C)",13,0,85.6,98.23076923076923
Boubakary Soumaré,6.49,63,DMC,5,0,86.4,110.6
Yassine Benrahou,6.48,63,Midfielder,1,0,84.2,175.0
Axel Disasi,6.39,63,D(C),1,0,75.8,157.0
Enzo Loiodice,6.35,63,DMC,10,0,85.3,85.2
Oumar Solet,5.9,63,Defender,1,0,93.5,60.0
Domingos Quina,6.44,63,DMC,3,0,85.0,111.66666666666667
Jon Gorenc Stankovic,6.42,63,"D(C), DMC",9,0,75.5,80.0
Michael Obafemi,6.41,63,Forward,1,0,66.7,136.0
Francisco Sierralta,6.65,63,Defender,2,1,67.8,133.0
Arkadiusz Reca,6.52,63,Defender,0,0,76.9,
Paolo Ghiglione,6.29,63,M(R),6,0,67.4,85.66666666666667
Alessio Da Cruz,6.11,63,Midfielder,1,0,80.8,142.0
John Yeboah,6.45,62,Midfielder,0,0,76.2,
Kevin Goden,6.34,62,Defender,3,0,60.0,91.0
Simon Rhein,6.1,62,M(C),7,0,85.2,71.0
Antonis Aidonis,6.05,62,Defender,1,0,38.1,81.0
Palko Dárdai,6.01,62,Forward,1,0,70.0,108.0
Andrés Solano,6.67,62,Defender,1,0,76.9,46.0
Xavi Quintillá,6.45,62,D(L),7,0,78.5,89.71428571428571
Hugo Duro,6.4,62,Forward,5,0,66.1,83.0
Benoit Badiashile Mukinayi,6.44,62,D(C),20,0,89.5,88.15
Makhtar Gueye,6.38,62,"Forward, Forward",0,0,60.0,
Gaoussou Traore,6.34,62,Forward,1,0,78.4,107.0
Carlos Vinicius,6.32,62,FW,3,0,57.3,172.0
Han-Noah Massengo,6.27,62,"M(C), M(C)",0,0,85.0,
Abdoulaye Dabo,6.2,62,Midfielder,2,0,86.7,59.0
Matthias Phaeton,6.09,62,Forward,0,0,90.0,
Ibrahima Cissé,6.08,62,DMC,1,0,85.3,87.0
Mehdi Léris,6.58,62,M(CR),18,1,78.1,89.61111111111111
Jonathan Burkardt,6.46,61,Forward,4,0,61.4,65.5
Robert Mazán,6.64,61,Defender,1,0,86.4,90.0
Adrià Pedrosa,6.63,61,D(L),8,1,81.6,95.0
Robert Ibáñez,6.16,61,AM(R),0,0,89.5,
Robert Beric,6.74,61,"FW, FW",12,1,68.9,97.66666666666667
Bafode Diakite,6.62,61,D(C),7,0,80.0,90.28571428571429
Youssouf Fofana,6.57,61,M(C),10,0,77.9,91.1
Boulaye Dia,6.56,61,FW,8,0,68.4,93.25
Thomas Basila,6.4,61,Defender,1,0,84.6,91.0
Rayan Ait Nouri,5.87,61,Defender,0,0,84.8,
Yan Valery,6.66,61,"D(R), M(R)",20,0,61.9,85.75
Jack Simpson,6.41,61,D(C),4,0,82.2,100.75
Joe Willock,6.15,61,M(C),1,0,80.0,64.0
Demeaco Duhaney,6.11,61,Defender,1,0,78.9,46.0
Emanuel Vignato,6.62,61,AM(C),8,0,84.5,82.625
Dusan Vlahovic,5.96,61,Forward,1,0,62.2,152.0
Alphonso Davies,6.24,60,AM(LR),0,0,87.1,
Timothy Tillman,6.07,60,Midfielder,1,0,74.1,204.0
Simon Asta,6.01,60,Defender,1,0,48.4,90.0
Christoph Baumgartner,5.97,60,Midfielder,1,0,62.9,86.0
Ismaël Aaneba,6.87,60,Defender,3,0,64.3,68.66666666666667
Gerzino Nyamsi,6.12,60,D(C),6,0,87.0,89.83333333333333
Callum Slattery,6.26,60,Midfielder,1,0,71.0,110.0
Merih Demiral,7.11,60,D(C),14,1,87.0,90.0
Stephane Omeonga,5.95,60,M(C),0,0,76.9,
Victor Mollejo,6.02,59,Forward,0,0,82.6,
Yoel Armougom,6.36,59,D(L),20,0,73.5,92.5
Matty Daly,5.96,59,Midfielder,0,0,58.3,
Ben Wilmot,6.07,59,Defender,2,0,79.8,99.0
Keven Schlotterbeck,6.58,58,D(C),8,0,86.8,96.5
Nico Schlotterbeck,6.47,58,Defender,2,0,77.8,113.0
Chima Okoroji,6.29,58,D(L),1,0,65.0,104.0
Valery Fernández,6.37,58,M(L),10,0,82.4,88.5
