Name,Rating,Fifa Ability Overall,Position,Apps,Man of the match,Pass success percentage,Avg Minutes Played
Zouhair Feddal,7.04,80,D(C),19,2,86.2,89.57894736842105
Cristhian Stuani,7.03,80,"AM(CLR), FW",30,5,68.2,91.03333333333333
Sergio Canales,7.0,80,AM(CLR),30,1,88.3,88.6
José Gayá,6.98,80,D(L),35,2,81.9,89.65714285714286
Maxi Gómez,6.95,80,FW,33,3,73.1,89.81818181818181
Jesús Navas,6.93,80,"D(R), M(R)",31,0,77.0,87.54838709677419
Jeison Murillo,6.9,80,D(C),1,0,94.1,90.0
Vitorino Antunes,6.89,80,D(L),25,0,58.2,87.28
Hugo Mallo,6.86,80,"D(CR), M(R)",35,0,74.6,88.4
Mikel Oyarzabal,6.83,80,"AM(CLR), FW",36,1,73.9,87.77777777777777
Iker Muniain,6.83,80,AM(CLR),27,1,85.9,88.4074074074074
Marcelo,6.81,80,D(L),21,1,83.5,87.66666666666667
Sergi Enrich,6.8,80,FW,30,2,71.5,86.43333333333334
Cristian Tello,6.78,80,M(LR),13,1,85.5,120.0
Carlos Soler,6.77,80,M(CR),27,1,79.5,91.33333333333333
Raúl García,6.76,80,D(CL),10,0,73.2,85.4
Álvaro Odriozola,6.74,80,D(R),14,0,90.6,84.28571428571429
Santi Mina,6.71,80,"AM(LR), FW",23,2,73.0,80.8695652173913
Mario Gaspar,6.71,80,"D(CR), M(R)",30,0,77.2,86.73333333333333
Juanfran,6.69,80,D(R),18,1,82.2,89.38888888888889
Beñat Etxebarria,6.68,80,M(C),25,1,85.0,81.8
Ryad Boudebouz,6.66,80,"M(CLR), FW",8,0,83.2,90.0
Juanfran,6.64,80,"D(R), M(R)",17,0,72.8,85.82352941176471
Portu,6.61,80,"AM(CR), FW",33,2,74.2,85.84848484848484
Markel Susaeta,6.57,80,M(LR),15,1,82.7,92.0
Raúl García,6.56,80,D(CL),4,0,64.8,95.0
Takashi Inui,6.51,80,AM(CLR),10,0,78.3,83.4
Ryad Boudebouz,6.49,80,"M(CLR), FW",6,0,87.9,90.0
Jeison Murillo,6.46,80,D(C),1,0,92.8,112.0
Kevin Gameiro,6.43,80,FW,16,0,77.0,100.375
Mariano,6.36,80,FW,3,0,75.0,147.0
Takashi Inui,6.35,80,AM(CLR),5,0,83.5,75.4
Luis Muriel,6.26,80,"AM(CL), FW",1,0,76.6,120.0
Michy Batshuayi,6.23,80,FW,4,0,76.3,130.5
Marcelo,7.25,80,D(C),33,0,87.8,87.27272727272727
Houssem Aouar,7.05,80,M(CL),35,3,86.7,87.68571428571428
Tanguy Ndombele,6.99,80,DMC,31,1,89.1,86.87096774193549
Loic Perrin,6.96,80,"D(C), D(C)",31,2,86.1,87.16129032258064
Rony Lopes,6.91,80,AM(CLR),22,3,74.2,84.4090909090909
Dante,6.87,80,D(C),36,1,91.5,89.63888888888889
Morgan Sanson,6.86,80,M(CLR),27,0,82.9,89.11111111111111
Lass Diarra,6.72,80,"M(C), M(C)",2,0,89.7,80.5
Mariano,6.33,80,FW,2,0,76.7,72.0
Lucas Digne,7.36,80,D(L),33,4,76.0,89.87878787878788
Wilfred Ndidi,7.21,80,DMC,37,3,79.9,89.16216216216216
Michael Keane,7.13,80,D(CR),33,2,80.8,90.0
James Tarkowski,7.11,80,D(C),35,3,69.5,88.2
Joel Matip,7.11,80,D(C),17,2,86.9,90.29411764705883
Jannik Vestergaard,7.07,80,D(C),23,0,76.9,88.26086956521739
Fabián Balbuena,6.98,80,D(C),23,1,79.4,87.56521739130434
