Name,Rating,Fifa Ability Overall,Position,Apps,Aerials Won per game,Man of the match,Tackles,Clearances per game,Passes per game,Pass success percentage,Unnamed: 32,Avg Minutes Played
Kevin Wimmer,6.38,75,D(C),17.0,1.3,0.0,1.1,2.7,47.0,80.8,,98.76470588235294
Miiko Albornoz,6.37,71,"D(L), M(L)",19.0,0.5,0.0,2.1,1.4,32.4,75.3,,87.36842105263158
Robin Bormuth,6.36,69,D(C),6.0,1.4,0.0,0.7,4.9,27.2,80.1,,102.5
Justin Hoogma,6.35,69,D(C),1.0,1.0,0.0,2.0,0.5,51.0,88.2,,110.0
Julian Korb,6.35,75,"D(R), M(R)",11.0,0.5,0.0,2.2,2.6,33.3,71.2,,91.63636363636364
Kevin Goden,6.34,62,Defender,3.0,1.4,0.0,0.8,1.8,16.0,60.0,,91.0
Felix Uduokhai,6.32,76,D(C),2.0,0.7,0.0,1.2,0.7,10.9,84.2,,119.0
Fabian Johnson,6.32,77,"D(LR), M(CLR)",11.0,0.6,0.0,0.7,0.7,27.9,80.1,,91.81818181818181
Jetro Willems,6.31,76,"D(L), DMC, M(L)",7.0,0.4,0.0,0.9,0.4,11.3,71.0,,102.85714285714286
Derrick Luckassen,6.31,73,"D(CR), DMC",2.0,1.3,0.0,1.0,3.3,46.3,89.7,,124.0
Georg Teigl,6.29,68,"D(R), M(R)",2.0,0.2,0.0,0.8,0.7,10.5,57.1,,146.0
Chima Okoroji,6.29,58,D(L),1.0,0.5,0.0,1.5,0.5,10.0,65.0,,104.0
Jeffrey Bruma,6.26,75,D(C),7.0,2.2,0.0,1.3,3.8,35.2,79.8,,89.0
Peter Pekarík,6.26,75,D(LR),2.0,1.3,0.0,0.7,1.7,35.3,74.5,,108.0
Taleb Tawatha,6.25,70,"D(L), M(L)",1.0,0.7,0.0,0.3,0.3,12.3,70.3,,125.0
Paul Verhaegh,6.23,74,"D(R), M(R)",2.0,0.5,0.0,0.5,3.0,46.0,81.5,,90.0
Kevin Akpoguma,6.2,75,D(C),4.0,1.5,0.0,2.5,1.8,42.3,78.7,,78.5
Josip Elez,6.19,73,D(C),7.0,1.0,0.0,0.8,2.7,30.6,78.1,,92.42857142857143
Reece Oxford,6.16,67,D(C),6.0,2.0,0.0,1.5,4.5,37.3,81.2,,84.16666666666667
Antonis Aidonis,6.05,62,Defender,1.0,1.0,0.0,1.5,1.0,10.5,38.1,,81.0
Simon Asta,6.01,60,Defender,1.0,2.0,0.0,6.0,0.0,31.0,48.4,,90.0
Christoph Janker,5.93,70,D(C),1.0,0.3,0.0,0.5,0.3,7.0,85.7,,71.0
Benjamin Henrichs,5.49,76,"D(LR), M(R)",1.0,0.0,0.0,0.0,0.0,33.0,81.8,,64.0
Carlos Isaac,7.35,63,Defender,1.0,1.0,0.0,0.0,0.0,41.0,85.4,,90.0
Guillermo Maripán,7.2,75,D(C),22.0,4.2,2.0,2.0,5.7,30.8,75.3,,91.31818181818181
Gerard Piqué,7.18,87,D(C),35.0,3.4,0.0,1.2,4.2,68.3,91.4,,90.0
Saúl Ñíguez,7.17,85,"D(CL), M(CLR)",32.0,2.9,4.0,2.5,2.2,44.9,78.8,,91.40625
Pablo Sarabia,7.16,82,"D(L), M(CLR)",30.0,0.3,5.0,0.9,0.5,36.6,79.6,,91.0
José Giménez,7.13,84,D(CR),19.0,2.7,0.0,1.2,6.0,34.2,80.5,,93.26315789473684
Cote,7.06,77,D(L),34.0,1.4,1.0,1.9,2.8,42.5,68.1,,89.26470588235294
Emiliano Velázquez,7.05,74,D(C),14.0,2.3,0.0,2.7,5.7,28.1,69.5,,91.07142857142857
Zouhair Feddal,7.04,80,D(C),19.0,3.4,2.0,1.8,4.3,60.6,86.2,,89.57894736842105
Rubén Peña,7.04,77,"D(R), M(L)",30.0,0.7,1.0,2.0,1.3,43.5,71.5,,89.13333333333334
